IAM Acronym,Bank Acronym,IAM id,Year Filed,Case Name,Global Region (1),Global Region (2),Country,External ID,Date Filed,Month Closed,Year Closed,Still open as of 12/31/15?,Status as of 12/31/15,Results achieved by 12/31/15?,Type of Filer (1),Type of Filer (2),Type of Filer (3),Filer Name(s) if organization,Other groups supporting complaint?,Type of Supporting Organization(s) (1),Type of Supporting Organization(s) (2),Name of supporting organization(s),Type of IFI Support (1),Type of IFI Support (2),Sector/Industry (1),Sector/Industry (2),Public or private?,Issue Raised (1),Issue Raised (2),Issue Raised (3),Issue Raised (4),Issue Raised (5),Issue Raised (6),Issue Raised (7),Issue Raised (8),Issue Raised (9),Issue Raised (10),Is Registered,Date Registered,Is Eligible,Date determined eligible,If no Eligibility why 1,If no Eligibility why 2,If no Eligibility why 3,If no Eligibility why 4,Problem-Solving initiated,Date PS initiated,Duration of PS (months),If no Dispute Resolution why,Settlement reached in PS?,Compliance Review initiated,Date CR initiated,Duration of CR (months),If no Compliance Review why,Was non-compliance found?,Was a management action plan produced?,Monitoring initiated,Date monitoring initiated,Duration of monitoring (months),If no Monitoring why,Duration from filing until case closed or monitoring started,"If closed as of 12/31/15, duration of process in months",Was a compliance report published,Who inputted data?
IRM,EBRD,27,2005,Unknown IRM 1,Unknown,N/A,Unknown,no_id_27_1,6/27/05,Unknown,2005,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2005,Unknown IRM 2,Unknown,N/A,Unknown,no_id_27_2,6/27/05,Unknown,2005,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2005,Unknown IRM 3,Unknown,N/A,Unknown,no_id_27_3,6/27/05,Unknown,2005,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2005,Unknown IRM 4,Unknown,N/A,Unknown,no_id_27_4,6/27/05,Unknown,2005,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2005,Unknown IRM 5,Unknown,N/A,Unknown,no_id_27_5,6/27/05,Unknown,2005,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2005,Sakhalin 2,Europe & Central Asia,N/A,Russia,2005/01,7/26/05,1,2007,No,Closed with results outside process,No,Corporation(s),Individual(s),N/A,N/A,Yes,Domestic CSO(s),N/A,Sakhalin Environment Watch,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Livelihoods,Pollution,Property damage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,7/28/05,Yes,9/6/05,N/A,N/A,N/A,N/A,No,N/A,N/A,Matter resolved outside mech,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,N/A,No,N/A,N/A,Case closed before monitoring,18,18,N/A,
IRM,EBRD,27,2005,BTC Pipeline,Europe & Central Asia,N/A,Azerbaijan,2005/02,8/16/05,3,2006,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Property damage,Other community health and safety issues,Due diligence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8/22/05,Yes,12/7/05,N/A,N/A,N/A,N/A,No,N/A,N/A,MNE or government refused to participate,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,N/A,No,N/A,N/A,Case closed before monitoring,7,7,N/A,
IRM,EBRD,27,2006,Unknown IRM 6,Unknown,N/A,Unknown,no_id_27_6,6/28/05,Unknown,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2006,BTC Georgia / Akhali Samgori,Europe & Central Asia,N/A,Georgia,2006/01,10/24/06,11,2007,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Property damage,Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/3/06,Yes,3/20/07,N/A,N/A,N/A,N/A,No,N/A,N/A,MNE or government refused to participate,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,N/A,No,N/A,N/A,Case closed before monitoring,13,13,N/A,
IRM,EBRD,27,2007,Unknown IRM 7,Unknown,N/A,Unknown,no_id_27_7,6/29/05,Unknown,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2007,Unknown IRM 8,Unknown,N/A,Unknown,no_id_27_8,6/29/05,Unknown,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
IRM,EBRD,27,2007,BTC Georgia / Atskuri,Europe & Central Asia,N/A,Georgia,2007/02,7/6/07,8,2008,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Property damage,Livelihoods,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,7/18/07,Yes,12/4/07,N/A,N/A,N/A,N/A,Yes,11/23/07,9,N/A,Yes,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,N/A,Unknown,N/A,N/A,N/A,13,13,N/A,
IRM,EBRD,27,2007,Vlore Thermal Power Generation Project,Europe & Central Asia,N/A,Albania,2007/01,4/19/07,5,2008,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,Civic Alliance for the Protection of the Bay of Vlora (CAPBV),Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Energy,N/A,Private,Livelihoods,Due diligence,Other environmental,Consultation and disclosure,Biodiversity,N/A,N/A,N/A,N/A,N/A,Yes,4/19/07,Yes,10/16/07,N/A,N/A,N/A,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,Yes,10/16/07,7,N/A,Yes,Yes,Unknown,N/A,N/A,N/A,13,13,Yes,
PCM,EBRD,26,2010,Unknown PCM 1,Unknown,N/A,Unknown,no_id_26_1,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 2,Unknown,N/A,Unknown,no_id_26_2,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 3,Unknown,N/A,Unknown,no_id_26_3,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 4,Unknown,N/A,Unknown,no_id_26_4,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 5,Unknown,N/A,Unknown,no_id_26_5,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 6,Unknown,N/A,Unknown,no_id_26_6,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,Unknown PCM 7,Unknown,N/A,Unknown,no_id_26_7,7/2/05,Unknown,2010,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2010,D1 motorway Phase I,Europe & Central Asia,N/A,Slovak Republic,2010/01,6/7/10,5,2011,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,"Priatelia Zeme-CEPA, SOS BirdLife Slovensko",Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Infrastructure,N/A,Private,Due diligence,Biodiversity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,6/11/10,Yes,8/18/10,N/A,N/A,N/A,N/A,No,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,Yes,8/18/10,9,N/A,No,No,No,N/A,N/A,Case closed before monitoring,11,11,Yes,
PCM,EBRD,26,2011,Unknown PCM 8,Unknown,N/A,Unknown,no_id_26_8,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 9,Unknown,N/A,Unknown,no_id_26_9,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 10,Unknown,N/A,Unknown,no_id_26_10,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 11,Unknown,N/A,Unknown,no_id_26_11,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 12,Unknown,N/A,Unknown,no_id_26_12,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 13,Unknown,N/A,Unknown,no_id_26_13,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 14,Unknown,N/A,Unknown,no_id_26_14,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 15,Unknown,N/A,Unknown,no_id_26_15,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 16,Unknown,N/A,Unknown,no_id_26_16,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Unknown PCM 17,Unknown,N/A,Unknown,no_id_26_17,7/3/05,Unknown,2011,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2011,Tbilisi Railway Bypass 4,Europe & Central Asia,N/A,Georgia,2011/04,3/16/11,11,2011,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Other community health and safety issues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3/24/11,Yes,9/23/11,N/A,N/A,N/A,N/A,Yes,9/23/11,2,N/A,No,No,N/A,N/A,Complainant did not request,N/A,N/A,No,N/A,N/A,Case closed before monitoring,8,8,N/A,
PCM,EBRD,26,2011,Tbilisi Railway Bypass 1,Europe & Central Asia,N/A,Georgia,2011/01,3/7/11,7,2012,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,Association Green Alternative,Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Infrastructure,N/A,Public,Due diligence,Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3/14/11,Yes,9/19/11,N/A,N/A,N/A,N/A,No,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,Yes,9/19/11,10,N/A,No,No,No,N/A,N/A,Case closed before monitoring,17,17,Yes,
PCM,EBRD,26,2011,Tbilisi Railway Bypass 2,Europe & Central Asia,N/A,Georgia,2011/02,3/7/11,7,2012,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,Association Green Alternative,Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Infrastructure,N/A,Public,Due diligence,Consultation and disclosure,Other community health and safety issues,Water,Pollution,Other,N/A,N/A,N/A,N/A,Yes,3/14/11,Yes,9/23/11,N/A,N/A,N/A,N/A,Yes,9/23/11,2,N/A,No,Yes,9/23/11,10,N/A,No,No,No,N/A,N/A,Case closed before monitoring,16,16,Yes,
PCM,EBRD,26,2011,Tbilisi Railway Bypass 3,Europe & Central Asia,N/A,Georgia,2011/03,3/8/11,7,2012,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,Association Green Alternative,Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3/14/11,Yes,9/23/11,N/A,N/A,N/A,N/A,Yes,9/23/11,2,N/A,No,Yes,9/23/11,10,N/A,No,No,No,N/A,N/A,Case closed before monitoring,16,16,Yes,
PCM,EBRD,26,2011,Boskov Most Hydro Power,Europe & Central Asia,N/A,Macedonia,2011/05,11/7/11,N/A,N/A,Yes,In monitoring,Yes,Domestic CSO(s),N/A,N/A,Eko-svest,Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Energy,N/A,Public,Due diligence,Biodiversity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/14/11,Yes,5/14/12,N/A,N/A,N/A,N/A,No,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,Yes,5/14/12,20,N/A,Yes,Yes,Yes,1/2/14,N/A,N/A,26,N/A,Yes,
PCM,EBRD,26,2011,Ombla Hydro Power Plant,Europe & Central Asia,N/A,Croatia,2011/06,11/17/11,N/A,N/A,Yes,In monitoring,Yes,Domestic CSO(s),N/A,N/A,Friends of the Earth Croatia,Yes,International CSO(s),N/A,CEE Bankwatch,Project/investment lending,N/A,Energy,Infrastructure,Public,Due diligence,Consultation and disclosure,Biodiversity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/24/11,Yes,7/12/12,N/A,N/A,N/A,N/A,No,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,Yes,7/12/12,18,N/A,Yes,Yes,Yes,1/2/14,N/A,N/A,26,N/A,Yes,
PCM,EBRD,26,2011,Paravani Hydro Power Plant,Europe & Central Asia,N/A,Georgia,2012/010,12/22/11,N/A,N/A,Yes,In monitoring,Yes,Domestic CSO(s),N/A,N/A,Association Green Alternative,Yes,International CSO(s),N/A,CEE Bankwatch,Equity Investment,Project/investment lending,Energy,Infrastructure,Private,Due diligence,Biodiversity,Other community health and safety issues,Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/4/12,Yes,10/24/12,N/A,N/A,N/A,N/A,No,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,Yes,10/24/12,15,N/A,Yes,Yes,Yes,1/2/14,N/A,N/A,25,N/A,Yes,
PCM,EBRD,26,2012,Unknown PCM 18,Unknown,N/A,Unknown,no_id_26_18,7/4/05,Unknown,2012,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2012,Unknown PCM 19,Unknown,N/A,Unknown,no_id_26_19,7/4/05,Unknown,2012,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2012,Unknown PCM 20,Unknown,N/A,Unknown,no_id_26_20,7/4/05,Unknown,2012,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
PCM,EBRD,26,2012,Unknown PCM 21,Unknown,N/A,Unknown,no_id_26_21,7/4/05,Unknown,2012,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,Unknown,Unknown,N/A,
