Bank,IAM,IAM ID,Year,Country,Project Name,Project Description,Complaint ID,Complaint Description,Filer(s),Filer Type,Environmental Category,Project Company,Project Number,Project Status,IFI Support Type,Financial Institution,Money,Project Loan Amount,Sector,Project Approval Date,Issues,Complaint Status,Date Filed (YYYY-DD-MM),Registration Start Date (YYYY-DD-MM),Registration End Date (YYYY-DD-MM),Registered? (Y/N),"If no registration, why?",Eligibility Start Date (YYYY-DD-MM),Eligibility End Date (YYYY-DD-MM),Eligible (Y/N),"If not eligibile, why?",Dispute Resolution Start Date,Dispute Resolution End Date,"If no DR, why?",Consultation and disclosure Review Start Date,Consultation and disclosure Review End Date,"If no CR, why?",Consultation and disclosure report published? (Y/N),Non-Consultation and disclosure Found (Y/N),Monitoring Start Date,Monitoring End Date,Date Closed,Project Hyperlink,Complaint Hyperlink,Documents
IFC,CAO,21,2013,Mexico,Harmon Hall,"Harmon Hall is a large English language school chain in Mexico, with a network of 110 English schools in 63 cities and over 40,000 students in the entire system. Harmon Hall also has two K-12 schools and plans to grow this business line. The International Finance Corporation (IFC) provides Harmon Hall with an equity investment that consists of two components: (i) the purchase of a selling shareholders shares and (ii) a capital increase in Harmon Hall to finance the expansion plans of the company over a period of 18 months. IFC will provide a $7.9 million equity investment.",210,,Current and former employees,,B,"Harmon Hall Holding, S.A. de C.V.",29753,,,IFC,7900000,$7.9 million equity,Other community health and safety issues & Education,,Labor; Labor,Closed,14-Oct-13,,,,,14-Oct-13,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=210,http://www.cao-ombudsman.org/cases/document-links/links-210.aspx
IFC,CAO,21,2014,Mexico,Harmon Hall,"Harmon Hall is a large English language school chain in Mexico, with a network of 110 English schools in 63 cities and over 40,000 students in the entire system. Harmon Hall also has two K-12 schools and plans to grow this business line. IFC provided Harmon Hall with an $7.9 million equity investment.",215,,Former teacher,,B,"Harmon Hall Holding, S.A. de C.V.",29753,,,IFC,0,,,,Labor; Labor,Closed,4-Mar-14,,,4-Mar-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=215,http://www.cao-ombudsman.org/cases/document-links/links-217.aspx,,
IFC,CAO,21,2013,Mexico,Harmon Hall,"Harmon Hall is a large English language school chain in Mexico, with a network of 110 English schools in 63 cities and over 40,000 students in the entire system. Harmon Hall also has two K-12 schools and plans to grow this business line. The International Finance Corporation (IFC) provides Harmon Hall with an equity investment that consists of two components: (i) the purchase of a selling shareholders shares and (ii) a capital increase in Harmon Hall to finance the expansion plans of the company over a period of 18 months. IFC will provide a $7.9 million equity investment.",210,,Current and former employees,,B,"Harmon Hall Holding, S.A. de C.V.",29753,,,IFC,0,,,,Labor; Labor,Closed,14-Oct-13,,,14-Oct-13,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=210,http://www.cao-ombudsman.org/cases/document-links/links-210.aspx,,
IFC,CAO,21,2017,Egypt,Alex Dev Ltd-03/Beni Suef,"Titan Group, an existing IFC client, is seeking to expand its Egyptian operations, which consist of two entities: Beni Suef Cement Company (BSCC) and Alexandria Portland Cement Company (APCC). The plants have a combined production capacity of 3.5 million tons per annum (mtpa) and are engaged in an investment program to add a second integrated cement production line of 1.5 mtpa in BSCC and various debottlenecking investments in both plants.   According to IFC, the project with Titan Group for the expansion of their cement manufacturing in Egypt (#27022) was a EUR 80 million equity investment in Titans investment holding company Alexandria Development Limited (ADL). ",1260,,A group of three former employees claiming to represent 300 other farm workers,Local Community Organization,B,Alexandria Development Limited (ADL),27022,,,IFC,91000000,80 million euros,Manufacturing,,Labor; Other,Active,10-May-17,,,,,10-May-17,2017-31-07,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1260,http://www.cao-ombudsman.org/cases/document-links/links-1256.aspx
IFC,CAO,21,2017,Egypt,Alex Dev Ltd-03/Beni Suef,"Titan Group, an existing IFC client, is seeking to expand its Egyptian operations, which consist of two entities: Beni Suef Cement Company (BSCC) and Alexandria Portland Cement Company (APCC). The plants have a combined production capacity of 3.5 million tons per annum (mtpa) and are engaged in an investment program to add a second integrated cement production line of 1.5 mtpa in BSCC and various debottlenecking investments in both plants.   According to IFC, the project with Titan Group for the expansion of their cement manufacturing in Egypt (#27022) was a EUR 80 million equity investment in Titans investment holding company Alexandria Development Limited (ADL). ",1260,,A group of three former employees claiming to represent 300 other farm workers,Local Community Organization,B,Alexandria Development Limited (ADL),27022,,,IFC,0,,Manufacturing,,Labor; Other,Active,10-May-17,,,10-May-17,2017-31-07,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1260,http://www.cao-ombudsman.org/cases/document-links/links-1256.aspx,,
IFC,CAO,21,2012,Africa region,Africa Investco,"The investment involves IFCs acquisition of up to a 15 percent equity interest in a newly formed Africa-focused transport infrastructure development company (Baobab Investments Ltd), alongside three other global companies. Baobab Investments Ltd (the Company) was expected to become a premier infrastructure developer in Africa and was pursuing a select number of high-impact, large scale transport infrastructure projects in three to four African countries. The Company is based in Mauritius with a U.K. subsidiary in London. IFC extended up to $3 million equity investment to enable the financing of the Companys activities and to provide equity for the Companys projects, as required.",186,,Confidential,,C,Baobab Investments Limited,27819,,,IFC,3000000,$3 million equity,Other,,Labor; Other,Closed,28-Mar-12,,,,,28-Mar-12,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=186,http://www.cao-ombudsman.org/cases/document-links/links-186.aspx
IFC,CAO,21,2012,Africa region,Africa Investco,"The investment involves IFCs acquisition of up to a 15 percent equity interest in a newly formed Africa-focused transport infrastructure development company (Baobab Investments Ltd), alongside three other global companies. Baobab Investments Ltd (the Company) was expected to become a premier infrastructure developer in Africa and was pursuing a select number of high-impact, large scale transport infrastructure projects in three to four African countries. The Company is based in Mauritius with a U.K. subsidiary in London. IFC extended up to $3 million equity investment to enable the financing of the Companys activities and to provide equity for the Companys projects, as required.",186,,Confidential,,C,Baobab Investments Limited,27819,,,IFC,0,,Other,,Labor; Other,Closed,28-Mar-12,,,28-Mar-12,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=186,http://www.cao-ombudsman.org/cases/document-links/links-186.aspx,,
MIGA,CAO,21,2017,"Azerbaijan, Georgia, Turkey",Trans-Anatolian Pipeline-01/Vale,"MIGA is actively considering providing a guarantee to the Southern Gas Corridor (SGC) against non-honoring of sovereign financial obligations for a loan of up to USD 750M in respect of SGCs investment in the Trans-Anatolian Natural Gas Pipeline (TANAP). The project consists of the construction and operation of the pipeline, a part of the Southern Gas Corridor value chain, which aims to transport natural gas from Shah Deniz Gas Field in Azerbaijan to Turkey and Europe. ",1262,,Former worker at ENKA,Individual,A,Southern Gas Corridor (SGC),13661,,,MIGA,950000000,$950 million,Infrastructure,,Labor; Other community health and safety issues,Closed without Output,29-Mar-17,,,,,29-Mar-17,2017-31-04,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,,,Case closed in earlier stage; Rejected at appraisal or similar,,,,,2018-13-03,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1262,http://www.cao-ombudsman.org/cases/document-links/links-1262.aspx
IFC,CAO,21,2016,Kenya,Bidco Bev. & Det.-01/Thika,"IFC has an active project with Bidco Africa, a Kenyan private limited liability company, which is one of East Africas leading manufacturers and distributors of fast moving consumer goods. The loan of up to US$36.5 million will support the US$46 million expansion of Bidco Africa. Specifically, the proceeds of the loan will be used for the construction and operation of new facilities to expand Bidcos production capacity in Kenya.",248,,A group of Bidco current and former workers,Local Community Organization,B,Bidco Africa Limited ,33385,,,IFC,36500000,Loan A: US$23 million; Loan B: US$13.5 million ,Manufacturing,,Labor; Other community health and safety issues,Active,10-Jun-16,,,10-Jun-16,1/6/16,Yes,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=248,http://www.cao-ombudsman.org/cases/document-links/links-248.aspx,,
IFC,CAO,21,2016,Kenya,Bidco Bev. & Det.-01/Thika,"IFC has an active project with Bidco Africa, a Kenyan private limited liability company, which is one of East Africas leading manufacturers and distributors of fast moving consumer goods. The loan of up to US$36.5 million will support the US$46 million expansion of Bidco Africa. Specifically, the proceeds of the loan will be used for the construction and operation of new facilities to expand Bidcos production capacity in Kenya.",248,,A group of Bidco current and former workers,Local Community Organization,B,Bidco Africa Limited ,33385,,,IFC,36500000,US$23 million A loan and up to $13.5 million B loa,Manufacturing,,Labor; Other community health and safety issues,Active,10-Jun-16,,,,,10-Jun-16,2016-30-06,Yes,,,,Mechanism unable to contact complainant,1/12/16,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=248,http://www.cao-ombudsman.org/cases/document-links/links-248.aspx
IFC,CAO,21,2017,Egypt,Alex Dev Ltd-02/Beni Suef,"IFC has an active project with Titan Group to support and expand its Egyptian cement operations which consist of two entities: Beni Suef Cement Company (BSCC) and Alexandria Portland Cement Company (APCC). The plants have a combined production capacity of 3.5 million tons per annum (mtpa) and are engaged in an investment program to add a second integrated cement production line of 1.5 mtpa in BSCC, and various debottlenecking investments in both plants.  As per IFC, its project with Titan Group for the expansion of their cement manufacturing in Egypt (#27022) was a EUR80 million equity investment in Titans investment holding company Alexandria Development Limited (ADL).",1256,,Workers from the Titan Beni Suef Cement Company ,,B,Alexandria Development Limited (ADL),27022,,,IFC,91000000,80 million euros,Manufacturing,,Labor; Other community health and safety issues; Other,Active,13-Feb-17,,,,,13-Feb-17,2017-31-03,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1256,http://www.cao-ombudsman.org/cases/document-links/links-1260.aspx
IFC,CAO,21,2017,Egypt,Alex Dev Ltd,"IFC has an active project with Titan Group to support and expand its Egyptian cement operations which consist of two entities: Beni Suef Cement Company (BSCC) and Alexandria Portland Cement Company (APCC). The plants have a combined production capacity of 3.5 million tons per annum (mtpa) and are engaged in an investment program to add a second integrated cement production line of 1.5 mtpa in BSCC, and various debottlenecking investments in both plants.  As per IFC, its project with Titan Group for the expansion of their cement manufacturing in Egypt (#27022) was a EUR80 million equity investment in Titans investment holding company Alexandria Development Limited (ADL).",1256,,Workers from the Titan Beni Suef Cement Company ,,B,Alexandria Development Limited (ADL),27022,,,IFC,0,,Manufacturing,,Labor; Other community health and safety issues; Other,Active,13-Feb-17,,,13-Feb-17,2017-31-03,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1256,http://www.cao-ombudsman.org/cases/document-links/links-1260.aspx,,
IFC,CAO,21,2014,India,Lafarge Surma Cement,"IFC has a project with Lafarge Surma Cement for the construction and operation of an integrated, dry process cement plant in Bangladesh very close to the border with the Indian state of Meghalaya, from where the limestone is sourced. A limestone quarrying and crushing operation located in Meghalaya serves the cement plant and the two centres of operations are connected by an overhead belt conveyor. IFC approved an A Loan of $35 million, a B Loan of up to $10 million and equity of $10 million in 1998, and invested in 2003.  In January 2013, a complaint was filed by a number of individuals on the Indian side of the project.  The complaint raises concerns about the legitimacy of the land acquisition and use process for the projects limestone quarrying operation close to the villages of Shella and Tynger in Meghalaya. The complainants further state that as Khasi indigenous people they have been deprived of their land, their livelihood has been impacted, and their customary land rights and systems have not been respected.  The complainants have requested confidentiality.   CAO Action CAO found the complaint eligible for further assessment in January 2014. During the assessment, CAO found no agreement among the key parties to proceed with a dispute resolution process under CAO auspices. Therefore, the complaint was transferred to CAOs Consultation and disclosure function for appraisal, per CAO Operational Guidelines.   CAO completed its Consultation and disclosure Appraisal in October 2014.  The Consultation and disclosure Appraisal notes that the primary concerns of the complainants in this case relate to the companys acquisition of land that they claim to own.  While a just resolution of these issues is no doubt important for the parties, the information available is not found to support a conclusion that they raise substantial concerns about environmental and/or social outcomes of the project. CAO also notes the complainants concerns about the adequacy of IFCs engagement with the projects impacts on the indigenous people.  Absent a complaint from a broader group of project-affected people, however, CAO is reluctant to pursue an investigation on this basis. While Consultation and disclosure Appraisal raises a number of questions about the strength of IFCs preparation and its supervision of E&S aspects of the project, these are not found to be of sufficient systemic importance to justify an investigation. On the balance of considerations, CAO thus decides to close the case.  Status CAO closed the case on October 14 , 2014. CAO's Appraisal Report and Assessment Report are available under 'View Documents' below.    Status as of October  17, 2014  Note: A CAO assessment does not entail a judgment on the merits of complaints.  Rather, the aim is to listen to people's concerns, understand the different perspectives, and gauge whether it is possible to address the concerns in a collaborative process.",211,,Confidential,,A,Lafarge Surma Cement Limited,8035,,,IFC,60000000,Loans totaling $50 million plus $10 million equity,Manufacturing & Services,,Labor; Due diligence,Closed,6-Jan-14,,,,,6-Jan-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=211,http://www.cao-ombudsman.org/cases/document-links/links-211.aspx
IFC,CAO,21,2006,India,Atul Ltd,"Atul Limited is a leading chemicals manufacturer in western India, which owns two manufacturing sites in Gujarat: the Atul and Ankleshwar sites. There are five manufacturing divisions at the Atul site, including agrochemicals, bulk chemicals, colors, pharmaceuticals, and polymers.",97,,Brackish Water Research Information,,B,Atul Limited,20509,,,IFC,7500000,$7.5 million (Equity) & $15 million (A loan),Other,,Labor; Due diligence,Closed,1-Jun-06,,,,,1-Jun-06,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=97,http://www.cao-ombudsman.org/cases/document-links/links-97.aspx
IFC,CAO,21,2006,India,Atul Ltd,"Atul Limited is a leading chemicals manufacturer in western India, which owns two manufacturing sites in Gujarat: the Atul and Ankleshwar sites. There are five manufacturing divisions at the Atul site, including agrochemicals, bulk chemicals, colors, pharmaceuticals, and polymers.",97,,Brackish Water Research Information,,B,Atul Limited,20509,,,IFC,0,,Other,,Labor; Due diligence,Closed,1-Jun-06,,,1-Jun-06,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=97,http://www.cao-ombudsman.org/cases/document-links/links-97.aspx,,
IFC,CAO,21,2014,India,Lafarge Surma Cement,"IFC has a project with Lafarge Surma Cement for the construction and operation of an integrated, dry process cement plant in Bangladesh very close to the border with the Indian state of Meghalaya, from where the limestone is sourced. A limestone quarrying and crushing operation located in Meghalaya serves the cement plant and the two centres of operations are connected by an overhead belt conveyor. IFC approved an A Loan of $35 million, a B Loan of up to $10 million and equity of $10 million in 1998, and invested in 2003.  In January 2013, a complaint was filed by a number of individuals on the Indian side of the project.  The complaint raises concerns about the legitimacy of the land acquisition and use process for the projects limestone quarrying operation close to the villages of Shella and Tynger in Meghalaya. The complainants further state that as Khasi indigenous people they have been deprived of their land, their livelihood has been impacted, and their customary land rights and systems have not been respected.  The complainants have requested confidentiality.   CAO Action CAO found the complaint eligible for further assessment in January 2014. During the assessment, CAO found no agreement among the key parties to proceed with a dispute resolution process under CAO auspices. Therefore, the complaint was transferred to CAOs Consultation and disclosure function for appraisal, per CAO Operational Guidelines.   CAO completed its Consultation and disclosure Appraisal in October 2014.  The Consultation and disclosure Appraisal notes that the primary concerns of the complainants in this case relate to the companys acquisition of land that they claim to own.  While a just resolution of these issues is no doubt important for the parties, the information available is not found to support a conclusion that they raise substantial concerns about environmental and/or social outcomes of the project. CAO also notes the complainants concerns about the adequacy of IFCs engagement with the projects impacts on the indigenous people.  Absent a complaint from a broader group of project-affected people, however, CAO is reluctant to pursue an investigation on this basis. While Consultation and disclosure Appraisal raises a number of questions about the strength of IFCs preparation and its supervision of E&S aspects of the project, these are not found to be of sufficient systemic importance to justify an investigation. On the balance of considerations, CAO thus decides to close the case.  Status CAO closed the case on October 14 , 2014. CAO's Appraisal Report and Assessment Report are available under 'View Documents' below.    Status as of October  17, 2014  Note: A CAO assessment does not entail a judgment on the merits of complaints.  Rather, the aim is to listen to people's concerns, understand the different perspectives, and gauge whether it is possible to address the concerns in a collaborative process.",211,,Confidential,,A,Lafarge Surma Cement Limited,8035,,,IFC,0,,,,Labor; Due diligence,Closed,6-Jan-14,,,6-Jan-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=211,http://www.cao-ombudsman.org/cases/document-links/links-211.aspx,,
IFC,CAO,21,2017,Egypt,Egyptian Indian Polyester Company - Sokhna,"ew The IFC project with the Egyptian Indian Polyester Company (EIPET) comprises the establishment of a 420,000 tons per annum greenfield Polyethylene Terephthalate (PET) resin plant in the Eldorado Integrated Development and Free Zone S.A.E. in Ain Sokhna, Egypt.  EIPET is a joint venture between South Asian Petrochem Limited (SAPL), an Indian based manufacturer of PET which merged with its holding company Dhunseri Tea & Industries, and the Egyptian Petrochemical Holding Company (Echem), an agency of the Government of Egypt. IFCs commitment to the project is $35 million A Loan.",1264,,Former worker,,B,Egyptian Indian Polyester Company SAE,28878,,,IFC,0,,,,Labor; Other community health and safety issues,Open - Ombudsman,20-Aug-17,,,20-Aug-17,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1264,http://www.cao-ombudsman.org/cases/document-links/links-1264.aspx,,
IFC & MIGA,CAO,21,2011,Uganda,Bujagali Energy Ltd,"IFC's support for the Bujagali Falls Hydroelectric Power Plant involved the design and construction of a power plant at Bujagali Falls in Jinga province, Uganda to sell electricity to Ugandas state owned Electricity Board. The project also included the construction of power transmission lines, associated substations and a reservoir. At its full supply level, the projects reservoir would inundate 80 hectares of land and 308 hectares of area previously occupied by the Victoria Nile River. This inundation raised serious concern amongst local populations in relation to cultural and spiritual effects.",164,,National Association of Professional Environmentalists (NAPE) & Save Bujagali Crusade,,A (IFC),Bujagali Energy (IFC); World Power Holdings (MIGA),(MIGA),,,IFC & MIGA,215000000,"$100m A & C loans (IFC), $115m guarantee (MIGA)",Infrastructure,,Labor; Other community health and safety issues; Labor,Open - Consultation and disclosure,21-Mar-11,,,,,21-Mar-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=164,http://www.cao-ombudsman.org/cases/document-links/links-114.aspx
IFC & MIGA,CAO,21,2011,Uganda,Bujagali Energy Ltd,"IFC's support for the Bujagali Falls Hydroelectric Power Plant involved the design and construction of a power plant at Bujagali Falls in Jinga province, Uganda to sell electricity to Ugandas state owned Electricity Board. The project also included the construction of power transmission lines, associated substations and a reservoir. At its full supply level, the projects reservoir would inundate 80 hectares of land and 308 hectares of area previously occupied by the Victoria Nile River. This inundation raised serious concern amongst local populations in relation to cultural and spiritual effects.",164,,National Association of Professional Environmentalists (NAPE) & Save Bujagali Crusade,,A (IFC),Bujagali Energy (IFC); World Power Holdings (MIGA),(MIGA),,,IFC & MIGA,0,,Infrastructure,,Labor; Other community health and safety issues; Labor,Open - Consultation and disclosure,21-Mar-11,,,21-Mar-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=164,http://www.cao-ombudsman.org/cases/document-links/links-114.aspx,,
EIB,CM,29,2014,Belgium,Route E420 Frasnes-Bruly RTE,,SG/E/2014/02,"Missing study of alternatives, efficiency and relevance of the project",François Nicolas,Individual,,,,,,,,,,,Labor; Other environmental; Due diligence,Active,1/22/14,1/22/14,1/22/14,,,Ongoing,Ongoing,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2014-02-route-e420-frasnes-bruly-rte.htm,
IFC,CAO,21,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,"The Baku-Tbilisi-Ceyhan (BTC) oil and gas pipeline is a 1,768 km long crude oil pipeline stretching from the Caspian Sea to the Mediterranean Sea. It is the second longest oil pipeline in the world and passes through Azerbaijan, Georgia and Turkey. IFC has invested $250 million since 2003 and the total project cost is approximately $3.6 billion. The project is operated by BTC Co., which comprises a consortium of 11 partners.",65,,Resident of Tsemi,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,,IFC,250000000,$125 million (A loan) $125 million (B loan),Extractives,,Procurement,Closed,24-Jun-05,,,,,24-Jun-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=65,
IFC,CAO,21,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,"The Baku-Tbilisi-Ceyhan (BTC) oil and gas pipeline is a 1,768 km long crude oil pipeline stretching from the Caspian Sea to the Mediterranean Sea. It is the second longest oil pipeline in the world and passes through Azerbaijan, Georgia and Turkey. IFC has invested $250 million since 2003 and the total project cost is approximately $3.6 billion. The project is operated by BTC Co., which comprises a consortium of 11 partners.",63,,Residents of Tsemi,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,,IFC,250000000,$125 million (A loan) $125 million (B loan),Extractives,,Procurement,Closed,3-May-05,,,,,3-May-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=63,
IFC,CAO,21,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,"The Baku-Tbilisi-Ceyhan (BTC) oil and gas pipeline is a 1,768 km long crude oil pipeline stretching from the Caspian Sea to the Mediterranean Sea. It is the second longest oil pipeline in the world and passes through Azerbaijan, Georgia and Turkey. IFC has invested $250 million since 2003 and the total project cost is approximately $3.6 billion. The project is operated by BTC Co., which comprises a consortium of 11 partners.",65,,Resident of Tsemi,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,,IFC,0,,Extractives,,Procurement,Closed,24-Jun-05,,,24-Jun-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=65,,,
IFC,CAO,21,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,"The Baku-Tbilisi-Ceyhan (BTC) oil and gas pipeline is a 1,768 km long crude oil pipeline stretching from the Caspian Sea to the Mediterranean Sea. It is the second longest oil pipeline in the world and passes through Azerbaijan, Georgia and Turkey. IFC has invested $250 million since 2003 and the total project cost is approximately $3.6 billion. The project is operated by BTC Co., which comprises a consortium of 11 partners.",63,,Residents of Tsemi,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,,IFC,0,,Extractives,,Procurement,Closed,3-May-05,,,3-May-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=63,,,
AfDB,IRM,28,2014,Uganda,Improvement of Other community health and safety issues Services Delivery at Mulago Hospital and in the City of Kampala,Improve access to quality and affordable health care services for the population of the Kampala Metropolitan Area,RQ 2014/1,,Family of Dr. Sembeguya,,B,,,,,,2000000,56 million UA,Other community health and safety issuescare,,Procurement,,14-Feb-14,7-Mar-14,3-Apr-14,7-May-14,9-May-14,,,9-May-14,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq-20141-uganda/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Uganda_-_Improvement_of_Other community health and safety issues_Services_Delivery_at_Mulago_Hospital_and_in_the_City_of_Kampala_-_Request_Register_N-RQ_2014-1.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Request_-_uganda.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Uganda_-_Improvement_of_Other community health and safety issues_Services_Delivery_at_Mulago_Hospital_and_in_the_City_of_Kampala_-_Notice_of_Registration_Request_N-RQ_2014-1.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Management_Response_-_uganda.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Progress_Report_on_Problem-Solving_Uganda_case.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Fact_Finding_Mission_Report.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf",,
AfDB,IRM,28,2014,Uganda,Improvement of Other community health and safety issues Services Delivery at Mulago Hospital and in the City of Kampala,Improve access to quality and affordable health care services for the population of the Kampala Metropolitan Area,RQ 2014/1,,Family of Dr. Sembeguya,,B,,,,,,2000000,56 million UA,Other community health and safety issuescare,,Procurement,,14-Feb-14,7-Mar-14,3-Apr-14,,,7-May-14,9-May-14,,,9-May-14,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq-20141-uganda/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Uganda_-_Improvement_of_Other community health and safety issues_Services_Delivery_at_Mulago_Hospital_and_in_the_City_of_Kampala_-_Request_Register_N-RQ_2014-1.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Request_-_uganda.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Uganda_-_Improvement_of_Other community health and safety issues_Services_Delivery_at_Mulago_Hospital_and_in_the_City_of_Kampala_-_Notice_of_Registration_Request_N-RQ_2014-1.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Management_Response_-_uganda.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Progress_Report_on_Problem-Solving_Uganda_case.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/ENG_Fact_Finding_Mission_Report.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf"
IFC,CAO,21,2009,Sri Lanka,Rainforest Ecolodge Linkages,"Located close to the Sinharaja Rainforest in southern Sri Lanka, the Rainforest Ecolodge is a joint venture eco-tourism project set up by several private sector companies in the tourism industry.  IFC, through its South Asia Enterprise Development Facility (SEDF), is providing technical advisory services to the project to obtain US Green Building Certification, and promote eco-tourism in the country.",151,,Save the Sinharaja Campaign on behalf of residents of Deniyaya Village,,,Rainforest Ecolodge Company (REC),547845,,,IFC,119706,"$119,706 ",,,Procurement,Closed,20-Aug-09,,,,,20-Aug-09,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=151,http://www.cao-ombudsman.org/cases/document-links/links-151.aspx
MIGA,CAO,21,2002,Tanzania,Kahama Mining Corp. Ltd.,Bulyanhulu Gold Mine is an underground mine and mill complex established by Kahama Mining Corp. Ltd (KHMC). The area in which the project is situated is an area where small scale miners have been highly active for many years.,113,,Lawyers Environmental Action Team (LEAT),,,Barrick Gold Corp. of Canada,3661,,,MIGA,56000000,$56.25 million (Guarantee),,,Procurement,Closed,1-Jan-02,,,,,1-Jan-02,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=113,http://www.cao-ombudsman.org/cases/document-links/links-113.aspx
MIGA,CAO,21,2002,Tanzania,Kahama Mining Corp. Ltd.,Bulyanhulu Gold Mine is an underground mine and mill complex established by Kahama Mining Corp. Ltd (KHMC). The area in which the project is situated is an area where small scale miners have been highly active for many years.,113,,Lawyers Environmental Action Team (LEAT),,,Barrick Gold Corp. of Canada,3661,,,MIGA,0,,,,Procurement,Closed,1-Jan-02,,,1-Jan-02,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=113,http://www.cao-ombudsman.org/cases/document-links/links-113.aspx,,
